Title,json_url,Download_number,Published_Date,Updated_Date
Farmers Queries in Kisan Call Centre (KCC) from Ahmadabad district of Gujarat for the month of December 2009,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=12&Year=2009,1,05/12/2018,05/12/2018
Farmers Queries in Kisan Call Centre (KCC) from Ahmadabad district of Gujarat for the month of April 2009,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=04&Year=2009,1,05/12/2018,05/12/2018
Farmers Queries in Kisan Call Centre (KCC) from Ahmadabad district of Gujarat for the month of June 2009,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=06&Year=2009,1,05/12/2018,05/12/2018
Farmers Queries in Kisan Call Centre (KCC) from Ahmadabad district of Gujarat for the month of August 2009,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=08&Year=2009,1,05/12/2018,05/12/2018
Farmers Queries in Kisan Call Centre (KCC) from AHMADABAD district of GUJARAT for the month of February 2019,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=02&Year=2019,2,04/02/2019,04/02/2019
Farmers Queries in Kisan Call Centre (KCC) from AHMADABAD district of GUJARAT for the month of October 2019,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=10&Year=2019,2,01/10/2019,01/10/2019
Farmers Queries in Kisan Call Centre (KCC) from AHMADABAD district of GUJARAT for the month of November 2019,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=11&Year=2019,2,01/11/2019,01/11/2019
Farmers Queries in Kisan Call Centre (KCC) from ANAND district of GUJARAT for the month of September 2019,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0425&Month=09&Year=2019,2,02/09/2019,02/09/2019
Farmers Queries in Kisan Call Centre (KCC) from Aravalli district of GUJARAT for the month of November 2019,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0421&Month=11&Year=2019,3,01/11/2019,01/11/2019
Farmers Queries in Kisan Call Centre (KCC) from Bhavnagar district of Gujarat for the month of March 2009,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0414&Month=03&Year=2009,1,05/12/2018,05/12/2018
Farmers Queries in Kisan Call Centre (KCC) from Bhavnagar district of Gujarat for the month of July 2009,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0414&Month=07&Year=2009,1,05/12/2018,05/12/2018
Farmers Queries in Kisan Call Centre (KCC) from Amreli district of Gujarat for the month of April 2009,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0413&Month=04&Year=2009,1,05/12/2018,05/12/2018
Farmers Queries in Kisan Call Centre (KCC) from CHHOTA UDAIPUR district of GUJARAT for the month of April 2019,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0429&Month=04&Year=2019,4,01/04/2019,01/04/2019
Farmers Queries in Kisan Call Centre (KCC) from CHHOTA UDAIPUR district of GUJARAT for the month of June 2019,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0429&Month=06&Year=2019,4,03/06/2019,03/06/2019
Farmers Queries in Kisan Call Centre (KCC) from CHHOTA UDAIPUR district of GUJARAT for the month of September 2019,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0429&Month=09&Year=2019,3,02/09/2019,02/09/2019
