title,brand
Oversized resort shirt,"Rs.1,299.00"
Oversized off-the-shoulder dress,"Rs.2,999.00"
Linen-blend wrapover skirt,"Rs.2,299.00"
Ribbed one-shoulder top,Rs.799.00
Crêpe slip dress,"Rs.1,499.00"
Crochet-look skirt,"Rs.2,999.00"
Cropped corset top,"Rs.1,299.00"
Strap-detail vest top,Rs.999.00
Corset-style strappy top,Rs.999.00
Corset-style strappy top,Rs.999.00
Strap-detail vest top,Rs.999.00
Patterned satin shirt,"Rs.2,299.00"
Lace top,"Rs.2,299.00"
Patterned trousers,"Rs.2,999.00"
Oversized blazer,"Rs.3,599.00"
Pleated chiffon dress,"Rs.2,999.00"
Pleated chiffon dress,"Rs.3,999.00"
Wide twill skirt,"Rs.2,699.00"
A-line pleated dress,"Rs.3,999.00"
A-line lace skirt,"Rs.3,999.00"
Draped satin dress,"Rs.2,999.00"
Butterfly-sleeved dress,"Rs.2,299.00"
Crêpe V-neck jumpsuit,"Rs.4,999.00"
Wide shorts,"Rs.2,199.00"
Asymmetric skirt,Rs.999.00
Asymmetric skirt,Rs.999.00
Asymmetric skirt,Rs.999.00
Asymmetric skirt,Rs.999.00
Mesh-detail bodycon dress,"Rs.1,799.00"
Pleated tunic dress,"Rs.2,299.00"
Oversized tie-detail dress,"Rs.2,699.00"
Off-the-shoulder dress,"Rs.2,299.00"
A-line modal-blend dress,"Rs.2,999.00"
Crochet-look dress,"Rs.2,999.00"
Pleated satin dress,"Rs.2,299.00"
A-line modal-blend dress,"Rs.2,999.00"
Shimmering dress,"Rs.2,699.00"
V-neck bodycon dress,"Rs.2,299.00"
Textured-weave slip dress,"Rs.3,999.00"
Rhinestone-embellished net dress,"Rs.7,999.00"
Frill-trimmed cotton blouse,"Rs.1,499.00"
Patterned satin shirt,"Rs.2,299.00"
Linen-blend trousers,"Rs.2,199.00"
Satin wrap dress,"Rs.2,399.00"
Tie-strap crêpe dress,"Rs.2,999.00"
Balloon-sleeved satin blouse,"Rs.1,699.00"
Ribbed top,Rs.399.00
Linen-blend shirt,"Rs.1,499.00"
Textured kaftan dress,"Rs.2,699.00"
Tie-detail cotton dress,"Rs.2,699.00"
Crochet-look shirt,"Rs.4,999.00"
Oversized T-shirt,Rs.699.00
Lace-trimmed ribbed top,Rs.799.00
Oversized printed T-shirt,"Rs.1,499.00"
Mom Loose Fit Ultra High Ankle Jeans,"Rs.1,799.00"
Wide twill trousers,"Rs.1,499.00"
Oversized kaftan dress,"Rs.1,999.00"
